Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
kränkeln|VVINF	-0.0048	kränkelt,kränkel,kränkeltet,kränkelten,kränkelen,kränkele,kränkeltest,kränkl,kränkle,kränkelte,kränkelst,gekränkelt
kränken|VVINF	-0.0048	kränktest,kränkte,kränkt,kränke,kränkst,kränkten,kränket,gekränkt,kränk,kränktet,kränkest
kränklich|ADJX	-0.3172	kränklichst,kränklichen,kränklichem,kränkliches,kränkliche,kränklicher,kränklichere,kränklichstes,kränklichster,kränklicheres,kränklichstem,kränklicherer,kränklichste,kränklichsten,kränklicheren,kränklicherem
kurz|ADJX	-0.0048	kurzem,kurzen,kurzer,kürzeste,kürzere,kürzerer,kurze,kürzeres,kürzesten,kürzest,kürzer,kürzestem,kürzerem,kürzeren,kurzes,kürzester,kürzestes
kurzsichtig|ADJX	-0.4714	kurzsichtigster,kurzsichtigstes,kurzsichtigem,kurzsichtigerem,kurzsichtigeren,kurzsichtigen,kurzsichtigerer,kurzsichtigeres,kurzsichtiger,kurzsichtiges,kurzsichtigere,kurzsichtigst,kurzsichtigste,kurzsichtigsten,kurzsichtige,kurzsichtigstem
kämpfen|VVINF	-0.3467	kämpftest,kämpfe,kämpfest,kämpftet,gekämpft,kämpf,kämpften,kämpfet,kämpft,kämpfte,kämpfst
kümmerlich|ADJX	-0.3208	kümmerlichstes,kümmerlichster,kümmerlichstem,kümmerlichsten,kümmerlichst,kümmerlichste,kümmerlicherem,kümmerlicheren,kümmerliche,kümmerlichere,kümmerlicher,kümmerliches,kümmerlichen,kümmerlichem,kümmerlicherer,kümmerlicheres
kündigen|VVINF	-0.4947	kündiget,kündigest,kündigtest,gekündigt,kündige,kündig,kündigten,kündigt,kündigst,kündigte,kündigtet
kürzen|VVINF	-0.3439	kürzest,kürze,kürzten,kürzt,kürzte,kürz,gekürzt,kürztet,kürztest,kürzet
labil|ADJX	-0.326	labilst,labilsten,labilere,labilstem,labilster,labilstes,labiler,labilerem,labilste,labileren,labiles,labilem,labilen,labile,labilerer,labileres
laienhaft|ADJX	-0.3169	laienhafteren,laienhaftes,laienhaftesten,laienhafter,laienhafterem,laienhaftestem,laienhafteres,laienhaftest,laienhafterer,laienhaftester,laienhafteste,laienhafte,laienhaftere,laienhaftestes,laienhaftem,laienhaften
lakonisch|ADJX	-0.0048	lakonisches,lakonischstem,lakonischsten,lakonischer,lakonischere,lakonischst,lakonischeres,lakonischerer,lakonischeren,lakonischerem,lakonischstes,lakonische,lakonischem,lakonischster,lakonischen,lakonischste
langatmig|ADJX	-0.0048	langatmiges,langatmige,langatmiger,langatmigerem,langatmigst,langatmigem,langatmigen,langatmigstem,langatmigeres,langatmigerer,langatmigsten,langatmigere,langatmigeren,langatmigste,langatmigstes,langatmigster
langsam|ADJX	-0.0167	langsamst,langsamsten,langsamste,langsamstem,langsamster,langsameren,langsame,langsamerem,langsamerer,langsames,langsamer,langsamem,langsamstes,langsameres,langsamere,langsamen
langweilen|VVINF	-0.0512	langweile,gelangweilt,langweilten,langweilt,langweilte,langweilst,langweiltest,langweiltet,langweilet,langweil,langweilest
langweilig|ADJX	-0.0228	langweiliges,langweiligster,langweiliger,langweiligerer,langweiligstes,langweilige,langweiligerem,langweiligeren,langweiligst,langweiligere,langweiligeres,langweiligstem,langweiligsten,langweiligen,langweiligem,langweiligste
lasch|ADJX	-0.0048	laschstes,laschster,lasches,lascher,lascheste,laschst,laschester,laschestes,laschere,laschestem,laschesten,lasche,lascheres,laschen,laschste,lascherer,laschest,laschem,laschsten,lascherem,laschstem,lascheren
launisch|ADJX	-0.0409	launischstes,launischeren,launischste,launischerem,launischster,launischerer,launischeres,launischsten,launischere,launischstem,launische,launischem,launischen,launischst,launischer,launisches
lebensfeindlich|ADJX	-0.0048	lebensfeindlicherer,lebensfeindlichsten,lebensfeindlichstem,lebensfeindliche,lebensfeindlichster,lebensfeindlicheres,lebensfeindlichste,lebensfeindlicheren,lebensfeindlicherem,lebensfeindlichere,lebensfeindlichstes,lebensfeindlicher,lebensfeindliches,lebensfeindlichem,lebensfeindlichen,lebensfeindlichst
lebensgefährlich|ADJX	-0.0048	lebensgefährlicheren,lebensgefährlicherem,lebensgefährlichste,lebensgefährlichst,lebensgefährlichere,lebensgefährlichen,lebensgefährlichstes,lebensgefährlichem,lebensgefährlicher,lebensgefährliches,lebensgefährlichstem,lebensgefährlichsten,lebensgefährliche,lebensgefährlicheres,lebensgefährlichster,lebensgefährlicherer
leblos|ADJX	-0.049	leblosestem,lebloses,lebloser,leblosen,leblosester,leblosestes,leblosesten,lebloseren,leblose,lebloserem,leblosere,lebloserer,lebloseres,leblosem,leblosest,lebloseste
leer|ADJX	-0.025	leererem,leere,leereren,leererer,leereres,leerstem,leerem,leeren,leerstes,leerster,leerer,leerst,leersten,leeres,leerste,leerere
leichtgläubig|ADJX	-0.0048	leichtgläubigst,leichtgläubigere,leichtgläubigeren,leichtgläubigerem,leichtgläubigerer,leichtgläubigste,leichtgläubigeres,leichtgläubigstem,leichtgläubigsten,leichtgläubiger,leichtgläubiges,leichtgläubigen,leichtgläubigstes,leichtgläubigem,leichtgläubige,leichtgläubigster
leichtsinnig|ADJX	-0.0048	leichtsinnige,leichtsinnigster,leichtsinnigstes,leichtsinnigeren,leichtsinnigerem,leichtsinnigerer,leichtsinnigste,leichtsinniges,leichtsinniger,leichtsinnigeres,leichtsinnigere,leichtsinnigem,leichtsinnigstem,leichtsinnigsten,leichtsinnigen,leichtsinnigst
leiden|VVINF	-0.1596
leider|ADJX	-0.4787
leistungsunfähig|ADJX	-0.0048
leugnen|VVINF	-0.4862	leugnetet,leugntet,leugnest,leugnte,leugn,leugnetest,leugntest,leugne,leugnet,leugnete,leugneten,geleugnet,leugnten
lieblos|ADJX	-0.4697	liebloserem,lieblose,liebloseren,lieblosestem,lieblosesten,liebloses,lieblosester,lieblosestes,liebloser,lieblosest,lieblosem,lieblosen,lieblosere,liebloseste,liebloserer,liebloseres
liquidieren|VVINF	-0.0048	liquidierten,liquidier,liquidierest,liquidiere,liquidiert,liquidierte,liquidierst,liquidiertet,liquidiertest,liquidieret
loswerden|VVINF	-0.0048
lächerlich|ADJX	-0.6435	lächerlichsten,lächerlichstem,lächerlicherem,lächerlicheren,lächerlichstes,lächerlichster,lächerliche,lächerlicherer,lächerlicheres,lächerlichste,lächerlicher,lächerliches,lächerlichem,lächerlichen,lächerlichst,lächerlichere
lädiert|VVINF	-0.0366	lädierte,lädiertere,lädiertes,lädiertem,lädierten,lädierteste,lädierter,lädierterem,lädiertester,lädiertest,lädierteren,lädiertestes,lädierteres,lädierterer,lädiertesten,lädiertestem
lähmen|VVINF	-0.0048	lähmtest,lähmet,lähmt,lähmest,lähmten,lähmtet,lähmte,lähm,gelähmt,lähmst,lähme
läppisch|ADJX	-0.0048	läppischem,läppischeren,läppischerem,läppischere,läppischerer,läppischeres,läppischster,läppischst,läppischen,läppischstes,läppische,läppischsten,läppischste,läppischstem,läppischer,läppisches
lästig|ADJX	-0.1751	lästigen,lästigste,lästiger,lästigeren,lästigst,lästigerem,lästiges,lästigsten,lästigstem,lästigster,lästigstes,lästigere,lästigeres,lästige,lästigerer,lästigem
löschen|VVINF	-0.3654	löschet,löschtest,löschten,löscht,lösch,löschte,lösche,löschst,gelöscht,löschtet,löschest
lückenhaft|ADJX	-0.4805	lückenhafteste,lückenhafte,lückenhafteren,lückenhafterem,lückenhaftere,lückenhaftester,lückenhaftestes,lückenhafterer,lückenhafteres,lückenhaftest,lückenhaftem,lückenhaften,lückenhaftes,lückenhaftesten,lückenhafter,lückenhaftestem
machtlos|ADJX	-0.3351	machtloserer,machtloserem,machtloseren,machtlosere,machtloses,machtloser,machtlosen,machtlosem,machtlosest,machtlosestem,machtlosesten,machtloseste,machtloseres,machtlosester,machtlosestes,machtlose
mager|ADJX	-0.0048	magerere,magrer,magreren,magererer,magrerem,magereres,magerstem,magersten,magrere,magerste,magerster,magerst,magerstes,magere,mageres,magerer,magrerer,magereren,mageren,magreres,magerem,magererem
magern|VVINF	-0.0048
makelhaft|ADJX	-0.0048
mangelbehaftet|ADJX	-0.0048
mangelhaft|ADJX	-0.3395	mangelhaftere,mangelhafteres,mangelhafterer,mangelhaftestem,mangelhaftesten,mangelhafteren,mangelhaftes,mangelhafter,mangelhafterem,mangelhaftester,mangelhaftestes,mangelhaften,mangelhafte,mangelhaftem,mangelhaftest,mangelhafteste
mangeln|VVINF	-0.0048	mangelst,mangelen,mangele,mangelten,mangl,mangeltest,mangelte,mangeltet,mangle,mangelt,mangel,gemangelt
manipulieren|VVINF	-0.0048
matt|ADJX	-0.0048	matteres,matterer,matterem,matter,mattes,matteren,mattestem,mattesten,mattest,matte,mattester,matteste,mattestes,mattere,matten,mattem
mau|ADJX	-0.1914	mauerem,maueren,maueste,mauest,mauestes,mauester,maustes,maueres,mauerer,mausten,maustem,maust,mauster,mauer,maues,mauestem,mauesten,mauere,mauen,mauste,maue,mauem
maßlos|ADJX	-0.1965	maßloseres,maßlosere,maßloses,maßloser,maßlosstes,maßlosster,maßlosst,maßlosste,maßlosstem,maßlossten,maßloserer,maßlose,maßloseren,maßlosem,maßloserem,maßlosen
meckern|VVINF	-0.031	meckerte,meckere,meckerst,meckeren,meckertet,gemeckert,meckertest,meckerten,meckert,mecker
meiden|VVINF	-0.332
melancholisch|ADJX	-0.0048	melancholischst,melancholischste,melancholischstes,melancholischster,melancholischer,melancholischem,melancholischen,melancholischeren,melancholischstem,melancholischere,melancholisches,melancholischerer,melancholischeres,melancholischsten,melancholische,melancholischerem
melodramatisch|ADJX	-0.0048	melodramatischeres,melodramatischer,melodramatischerer,melodramatisches,melodramatischere,melodramatischen,melodramatischstem,melodramatischsten,melodramatischster,melodramatischstes,melodramatische,melodramatischste,melodramatischst,melodramatischem,melodramatischerem,melodramatischeren
menschenunwürdig|ADJX	-0.3144	menschenunwürdigerer,menschenunwürdigeres,menschenunwürdigste,menschenunwürdigst,menschenunwürdigstes,menschenunwürdigsten,menschenunwürdigen,menschenunwürdigstem,menschenunwürdigem,menschenunwürdigster,menschenunwürdiger,menschenunwürdigeren,menschenunwürdigere,menschenunwürdigerem,menschenunwürdiges,menschenunwürdige
merkwürdig|ADJX	-0.0431	merkwürdige,merkwürdigere,merkwürdigstem,merkwürdiger,merkwürdigeren,merkwürdigerem,merkwürdiges,merkwürdigste,merkwürdigen,merkwürdigst,merkwürdigem,merkwürdigerer,merkwürdigeres,merkwürdigsten,merkwürdigstes,merkwürdigster
mies|ADJX	-0.0048	mieseste,miesere,mieses,mieserem,miesen,miesem,mieser,miesest,miese,miesestes,miesester,mieseren,miesesten,miesestem,mieserer,mieseres
miesepetrig|ADJX	-0.0048	miesepetrigster,miesepetrigere,miesepetriges,miesepetrigstes,miesepetriger,miesepetrigste,miesepetrigeres,miesepetrigerer,miesepetrigsten,miesepetrigeren,miesepetrigem,miesepetrigerem,miesepetrigst,miesepetrigen,miesepetrigstem,miesepetrige
mindern|VVINF	-0.057	minderen,minder,mindertet,gemindert,minderst,minderten,minderte,mindertest,mindert,mindere
minderwertig|ADJX	-0.613	minderwertiges,minderwertigster,minderwertiger,minderwertigstes,minderwertigstem,minderwertigsten,minderwertige,minderwertigen,minderwertigem,minderwertigerer,minderwertigeren,minderwertigst,minderwertigerem,minderwertigere,minderwertigste,minderwertigeres
miserabel|ADJX	-0.2004	miserablen,miserabler,miserables,miserablerem,miserableren,miserablere,miserable,miserabelst,miserabelster,miserableres,miserabelste,miserabelstes,miserablerer,miserabelsten,miserabelstem,miserablem
missachten|VVINF	-0.0048
missbrauchen|VVINF	-0.0048
missfallen|VVINF	-0.0048
missgelaunt|ADJX	-0.297	missgelaunteren,missgelaunterem,missgelaunterer,missgelaunteres,missgelaunten,missgelauntem,missgelauntes,missgelauntest,missgelaunter,missgelaunte,missgelaunteste,missgelauntester,missgelauntestem,missgelauntesten,missgelauntestes,missgelauntere
missglücken|VVINF	-0.0048
misslingen|VVINF	-0.0048
missmutig|ADJX	-0.3166
missraten|ADJX	-0.0048	missratenes,missratensten,missratenstem,missratnere,missratner,missratenst,missratneres,missrateneren,missratenere,missrateneres,missratenerer,missratene,missratnerem,missratenste,missratneren,missratener,missratenstes,missratenem,missratnerer,missratenster,missratenen,missratenerem
misstrauisch|ADJX	-0.3333
missverstehen|VVINF	-0.3202
mist|VVINF	-0.1723
mittellos|ADJX	-0.0048	mittelloserer,mittelloserem,mittelloseren,mittellosester,mittellosestes,mittellosest,mittellosestem,mittellosesten,mittelloseres,mittelloser,mittelloses,mittellose,mittellosere,mittellosen,mittelloseste,mittellosem
mittelmäßig|ADJX	-0.1871	mittelmäßigstem,mittelmäßigsten,mittelmäßigem,mittelmäßigerem,mittelmäßigeren,mittelmäßigeres,mittelmäßigen,mittelmäßigerer,mittelmäßige,mittelmäßigste,mittelmäßigst,mittelmäßiges,mittelmäßiger,mittelmäßigere,mittelmäßigster,mittelmäßigstes
monoton|ADJX	-0.0533	monotonerer,monotonst,monotoneres,monotonstem,monotonere,monotonsten,monotone,monotonerem,monotonstes,monotoneren,monotonster,monotoner,monotones,monotonste,monotonem,monotonen
morbid|ADJX	-0.0048	morbiden,morbidem,morbide,morbideste,morbidestem,morbidesten,morbider,morbides,morbidestes,morbidester,morbidere,morbiderer,morbideren,morbiderem,morbideres,morbidest
morden|VVINF	-0.0048	morde,gemordet,mordtest,mordete,mordtet,mordetet,mordten,mordet,mord,mordeten,mordetest,mordte,mordest
murren|VVINF	-0.0496	murrtest,murrtet,murr,murre,murrte,murrt,murrst,murrest,gemurrt,murrten,murret
mutlos|ADJX	-0.0048	mutlosem,mutloserem,mutlosen,mutlosest,mutloseren,mutloseres,mutloserer,mutlosere,mutloseste,mutlosestes,mutlosestem,mutlosesten,mutlosester,mutlose,mutloser,mutloses
mörderisch|ADJX	-0.0384	mörderischere,mörderischstem,mörderischsten,mörderischeren,mörderischerem,mörderischster,mörderischstes,mörderischste,mörderische,mörderischen,mörderischst,mörderischeres,mörderisches,mörderischer,mörderischem,mörderischerer
müde|ADJX	-0.0048	müderer,müderem,müderen,müdest,müdes,müdeste,müder,müdere,müden,müdem,müdestem,müdesten,müdester,müdestes,müderes
mühsam|ADJX	-0.3336	mühsamere,mühsames,mühsamer,mühsamerem,mühsamstem,mühsameren,mühsamst,mühsamsten,mühsameres,mühsamerer,mühsamstes,mühsamster,mühsamem,mühsamen,mühsamste,mühsame
mürrisch|ADJX	-0.4658	mürrischere,mürrischerem,mürrischeren,mürrischst,mürrischerer,mürrischeres,mürrischen,mürrischem,mürrischstem,mürrischsten,mürrisches,mürrische,mürrischster,mürrischstes,mürrischer,mürrischste
nachlassen|VVINF	-0.0048
nachlässig|ADJX	-0.3307	nachlässigst,nachlässige,nachlässigste,nachlässigere,nachlässigerer,nachlässigeres,nachlässigsten,nachlässiges,nachlässiger,nachlässigstes,nachlässigster,nachlässigen,nachlässigem,nachlässigerem,nachlässigeren,nachlässigstem
nachteilig|ADJX	-0.3357	nachteiligster,nachteiligstes,nachteiliger,nachteiligerem,nachteiligen,nachteiligem,nachteiligstem,nachteiligsten,nachteiliges,nachteiligere,nachteilige,nachteiligeren,nachteiligste,nachteiligerer,nachteiligeres,nachteiligst
naiv|ADJX	-0.0675	naivsten,naivst,naivstem,naivster,naiveres,naivstes,naiverer,naivere,naiveren,naiverem,naive,naives,naiver,naivste,naivem,naiven
negativ|ADJX	-0.4949	negativste,negativere,negativer,negatives,negativem,negativen,negativst,negativerem,negativeren,negativstes,negativster,negativerer,negative,negativeres,negativsten,negativstem
neidisch|ADJX	-0.0048	neidischst,neidischerem,neidischeren,neidischstes,neidischeres,neidischere,neidischste,neidischerer,neidische,neidischen,neidischem,neidischster,neidisches,neidischer,neidischstem,neidischsten
nerven|VVINF	-0.1374
nervenaufreibend|ADJX	-0.0376	nervenaufreibende,nervenaufreibendstes,nervenaufreibenden,nervenaufreibendst,nervenaufreibendem,nervenaufreibender,nervenaufreibendes,nervenaufreibendere,nervenaufreibenderem,nervenaufreibenderen,nervenaufreibenderes,nervenaufreibendster,nervenaufreibendsten,nervenaufreibenderer,nervenaufreibendste,nervenaufreibendstem
nervig|ADJX	-0.0048	nervigerem,nervigeren,nervigste,nerviger,nerviges,nervigem,nervigen,nervigstes,nervigster,nervigsten,nervigstem,nervigere,nervige,nervigeres,nervigerer,nervigst
nervös|ADJX	-0.0042	nervöseste,nervöseren,nervösest,nervöserem,nervösem,nervösen,nervösere,nervöses,nervöser,nervösesten,nervösestem,nervöseres,nervösestes,nervöserer,nervöse,nervösester
neutralisieren|VVINF	-0.1892	neutralisiert,neutralisiertest,neutralisiertet,neutralisierte,neutralisier,neutralisierten,neutralisierst,neutralisieret,neutralisierest,neutralisiere
niedergeschlagen|ADJX	-0.4708	niedergeschlagner,niedergeschlagnerer,niedergeschlagneres,niedergeschlagnerem,niedergeschlagenerer,niedergeschlagneren,niedergeschlageneres,niedergeschlagenst,niedergeschlagnere,niedergeschlagene,niedergeschlagenem,niedergeschlagenen,niedergeschlagenerem,niedergeschlagenes,niedergeschlagenste,niedergeschlagener,niedergeschlageneren,niedergeschlagenster,niedergeschlagenstes,niedergeschlagensten,niedergeschlagenere,niedergeschlagenstem
niedergleitend|ADJX	-0.0048
niederschlagen|VVINF	-0.1871
niederschmetternd|ADJX	-0.0436
niederträchtig|ADJX	-0.45	niederträchtiger,niederträchtiges,niederträchtigere,niederträchtigem,niederträchtigen,niederträchtigster,niederträchtigstes,niederträchtigeres,niederträchtigerer,niederträchtigsten,niederträchtige,niederträchtigst,niederträchtigerem,niederträchtigste,niederträchtigstem,niederträchtigeren
niedrig|ADJX	-0.3623	niedrige,niedrigster,niedrigeren,niedrigstes,niedrigerem,niedrigstem,niedrigsten,niedriger,niedriges,niedrigste,niedrigere,niedrigen,niedrigst,niedrigem,niedrigeres,niedrigerer
nutzlos|ADJX	-0.485	nutzlosester,nutzlosest,nutzlosestes,nutzlose,nutzloseren,nutzloserem,nutzlosere,nutzloserer,nutzloses,nutzloser,nutzloseres,nutzlosen,nutzlosem,nutzloseste,nutzlosestem,nutzlosesten
närrisch|ADJX	-0.0443	närrischem,närrischste,närrischsten,närrischen,närrischst,närrischstem,närrischerer,närrischerem,närrischeren,närrische,närrischere,närrischeres,närrischstes,närrischer,närrischster,närrisches
nörgeln|VVINF	-0.1789	nörgeltet,nörgel,nörgelen,nörgelt,nörgele,nörgl,nörgelten,nörgle,nörgelte,nörgeltest,nörgelst,genörgelt
nötigen|VVINF	-0.0048	nötigtet,nötiget,nötige,nötigt,nötigtest,nötigest,genötigt,nötigten,nötigte,nötigst,nötig
oberflächlich|ADJX	-0.1794
ominös|ADJX	-0.0048	ominösestem,ominösesten,ominösem,ominösen,ominösere,ominöser,ominöses,ominöseste,ominöserem,ominöseren,ominösestes,ominöse,ominöserer,ominöseres,ominösester,ominösest
ordnungswidrig|ADJX	-0.171	ordnungswidrigste,ordnungswidrigst,ordnungswidrige,ordnungswidrigeres,ordnungswidrigerer,ordnungswidrigere,ordnungswidriger,ordnungswidrigster,ordnungswidriges,ordnungswidrigstes,ordnungswidrigem,ordnungswidrigen,ordnungswidrigeren,ordnungswidrigstem,ordnungswidrigsten,ordnungswidrigerem
panisch|ADJX	-0.0048	panischsten,panische,panischerer,panischeres,panischste,panischstem,panischerem,panischst,panischeren,panischster,panischere,panischstes,panischen,panischem,panischer,panisches
peinlich|ADJX	-0.0048	peinliche,peinlichsten,peinlichstem,peinlichste,peinlichstes,peinlichster,peinlichen,peinlicherem,peinlichst,peinlichem,peinlicheren,peinlicheres,peinlicherer,peinlicher,peinlichere,peinliches
pessimistisch|ADJX	-0.3359
pflichtwidrig|ADJX	-0.0048	pflichtwidrigstes,pflichtwidrigster,pflichtwidrigere,pflichtwidrigeres,pflichtwidrigst,pflichtwidrigstem,pflichtwidrigerer,pflichtwidrigste,pflichtwidrige,pflichtwidrigeren,pflichtwidrigsten,pflichtwidriger,pflichtwidrigerem,pflichtwidrigem,pflichtwidrigen,pflichtwidriges
pikiert|ADJX	-0.0048	pikiertester,pikiertestes,pikierte,pikiertere,pikierten,pikiertem,pikiertes,pikierter,pikierteren,pikierterem,pikierteste,pikiertest,pikiertestem,pikiertesten,pikierterer,pikierteres
planlos|ADJX	-0.1869	planloseres,planlose,planlosst,planloserer,planlosem,planloses,planloser,planlosen,planloseren,planlosster,planloserem,planlosstes,planlosste,planlosstem,planlossten,planlosere
prekär|ADJX	-0.3272	prekärstem,prekärerer,prekäreres,prekären,prekärere,prekärst,prekärem,prekärer,prekärerem,prekäreren,prekäres,prekäre,prekärsten,prekärste,prekärstes,prekärster
primitiv|ADJX	-0.7475
problematisch|ADJX	-0.3524
profan|ADJX	-0.0048	profansten,profaner,profanstes,profane,profanster,profanes,profaneren,profanerem,profanste,profanere,profanerer,profaneres,profanst,profanem,profanen,profanstem
protestieren|VVINF	-0.0048	protestieret,protestiertet,protestiere,protestier,protestierte,protestierst,protestiert,protestierten,protestierest,protestiertest
provisorisch|ADJX	-0.0048
provozieren|VVINF	-0.3369	provozierest,provozieret,provoziertest,provoziertet,provozier,provozierte,provozierst,provoziere,provoziert,provozierten
prügeln|VVINF	-0.0507	geprügelt,prügl,prügelen,prügelte,prügelten,prügele,prügeltest,prügelt,prügel,prügle,prügeltet,prügelst
qualvoll|ADJX	-0.0048	qualvollstem,qualvollsten,qualvollstes,qualvollster,qualvollere,qualvolleres,qualvollerer,qualvolle,qualvollen,qualvollst,qualvollem,qualvollste,qualvoller,qualvolleren,qualvollerem,qualvolles
quälen|VVINF	-0.1929	quälest,gequält,quältest,quälet,quälte,quälten,quälst,quäle,quältet,quält,quäl
rabiat|ADJX	-0.0402	rabiaterem,rabiateren,rabiaterer,rabiatestes,rabiates,rabiatester,rabiater,rabiatem,rabiateste,rabiateres,rabiaten,rabiatere,rabiatestem,rabiatesten,rabiatest,rabiate
radikal|ADJX	-0.487
rammen|VVINF	-0.0048	rammte,ramme,ramm,rammten,rammt,gerammt,rammtest,rammest,rammst,rammet,rammtet
ramponieren|VVINF	-0.0048	ramponierest,ramponiertest,ramponier,ramponiere,ramponiert,ramponiertet,ramponierst,ramponieret,ramponierte,ramponierten
rasend|ADJX	-0.0048	rasenderen,rasenderem,rasendem,rasendste,rasendes,rasende,rasender,rasenderer,rasenderes,rasenden,rasendst,rasendster,rasendstes,rasendere,rasendstem,rasendsten
rauh|ADJX	-0.0286	rauhste,rauhe,rauhstem,rauhere,rauhsten,rauhes,rauhestem,rauhesten,rauhst,rauheste,rauhester,rauheres,rauherer,rauhestes,rauheren,rauhest,rauher,rauhstes,rauherem,rauhster,rauhem,rauhen
rausgeschmissen|ADJX	-0.1863
rebellisch|ADJX	-0.1706	rebellischst,rebellischere,rebellischster,rebellischerer,rebellisches,rebellischer,rebellischerem,rebellischeren,rebellischstes,rebellischstem,rebellischsten,rebellischem,rebellischeres,rebellischen,rebellische,rebellischste
rechthaberisch|ADJX	-0.0048	rechthaberischere,rechthaberischem,rechthaberischen,rechthaberische,rechthaberischer,rechthaberisches,rechthaberischerem,rechthaberischeren,rechthaberischste,rechthaberischster,rechthaberischstem,rechthaberischsten,rechthaberischerer,rechthaberischst,rechthaberischstes,rechthaberischeres
rechtswidrig|ADJX	-0.3406	rechtswidrigere,rechtswidrigerem,rechtswidrigstem,rechtswidrigsten,rechtswidrigeren,rechtswidrigen,rechtswidrigem,rechtswidrigerer,rechtswidrigste,rechtswidrigst,rechtswidrige,rechtswidriger,rechtswidriges,rechtswidrigeres,rechtswidrigstes,rechtswidrigster
reduzieren|VVINF	-0.0048	reduzierest,reduziere,reduziert,reduzierst,reduzierte,reduziertet,reduzierten,reduzieret,reduziertest,reduzier
renitent|ADJX	-0.0048	renitenten,renitenterem,renitenteren,renitentest,renitentem,renitenterer,renitenteste,renitente,renitentestem,renitentesten,renitentestes,renitentere,renitentester,renitentes,renitenter,renitenteres
repetiv|ADJX	-0.0048
riskant|ADJX	-0.0482	riskantestem,riskantesten,riskanteren,riskantes,riskantestes,riskanter,riskanterem,riskantester,riskanteste,riskanten,riskantem,riskante,riskanterer,riskanteres,riskantest,riskantere
riskieren|VVINF	-0.3328	riskierest,riskierten,riskier,riskierte,riskierst,riskiertest,riskiere,riskiert,riskieret,riskiertet
rosten|VVINF	-0.0048	roste,rost,rostest,gerostet,rostten,rostet,rosttet,rostete,rosteten,rosttest,rostetest,rostetet,rostte
ruchlos|ADJX	-0.037	ruchloseres,ruchloserer,ruchlosere,ruchlosem,ruchlosen,ruchlosest,ruchlosester,ruchlosestes,ruchloserem,ruchloser,ruchloses,ruchloseren,ruchlose,ruchloseste,ruchlosestem,ruchlosesten
ruckeln|VVINF	-0.0387
ruinös|ADJX	-0.0048	ruinösem,ruinösere,ruinösen,ruinöseste,ruinöserem,ruinöseren,ruinöserer,ruinöse,ruinösesten,ruinöser,ruinösest,ruinöses,ruinösestem,ruinösester,ruinösestes,ruinöseres
ruppig|ADJX	-0.0048	ruppigere,ruppigste,ruppigstes,ruppigem,ruppigeren,ruppigerem,ruppigster,ruppigen,ruppiges,ruppigstem,ruppigsten,ruppige,ruppiger,ruppigeres,ruppigst,ruppigerer
rutschen|VVINF	-0.0048	rutscht,rutschet,rutsche,rutschten,rutschte,rutschtest,rutschst,rutschtet,rutschest,rutsch,gerutscht
rächen|VVINF	-0.3489	rächt,rächtet,rächtest,räche,räch,rächten,rächst,rächet,rächte,gerächt,rächest
rückläufig|ADJX	-0.0544
rücksichtslos|ADJX	-0.4754	rücksichtslosen,rücksichtslosem,rücksichtslosest,rücksichtslosestes,rücksichtslose,rücksichtslosester,rücksichtsloserer,rücksichtsloseres,rücksichtslosestem,rücksichtslosesten,rücksichtsloserem,rücksichtsloseste,rücksichtsloseren,rücksichtslosere,rücksichtsloses,rücksichtsloser
rückständig|ADJX	-0.0048	rückständiger,rückständigerer,rückständiges,rückständigsten,rückständigerem,rückständigere,rückständigeren,rückständigstem,rückständige,rückständigst,rückständigster,rückständigste,rückständigen,rückständigeres,rückständigstes,rückständigem
rückwärts|ADV	-0.3496
rüde|ADJX	-0.0048	rüdestes,rüdester,rüdestem,rüdesten,rüdee,rüdeer,rüdeere,rüdees,rüdeste,rüdeerem,rüdeeren,rüdeeres,rüdest,rüdeerer,rüdeem,rüdeen
sabotieren|VVINF	-0.0048	sabotiert,sabotiertest,sabotier,sabotiertet,sabotieret,sabotierten,sabotierst,sabotierte,sabotierest,sabotiere
sauer|ADJX	-0.0048	sauerstem,sauerste,sauersten,saurere,sauren,sauerst,saurem,sauerster,saurerer,sauerstes,saureres,saurer,saurerem,saures,saure,saureren
schade|ADJX	-0.0048	schadee,schadeerem,schadeste,schadeere,schadeeres,schadeerer,schadestem,schadeeren,schadees,schadesten,schadest,schadester,schadeer,schadestes,schadeen,schadeem
schadhaft|ADJX	-0.0048	schadhaftem,schadhafteste,schadhaften,schadhaftere,schadhafteren,schadhafte,schadhafteres,schadhafter,schadhafterer,schadhaftest,schadhafterem,schadhaftestem,schadhaftesten,schadhaftestes,schadhaftester,schadhaftes
schal|ADJX	-0.0048	schalst,schale,schalstem,schalsten,schaler,schalere,schales,schaleren,schalerem,schalen,schalster,schalem,schalerer,schalste,schalstes,schaleres
schamlos|ADJX	-0.3332	schamloser,schamloserem,schamlosestes,schamloseren,schamloses,schamloseres,schamlosere,schamloserer,schamlosesten,schamlosestem,schamlosen,schamlosem,schamlosester,schamlose,schamlosest,schamloseste
