Abmachung|NN	0.0040	Abmachungen
hochklassig|ADJX	0.0040
hochrangig|ADJX	0.0040	hochrangiges,hochrangigere,hochrangige,hochrangigstes,hochrangigster,hochrangigst,hochrangigsten,hochrangigeren,hochrangigerer,hochrangigeres,hochrangigstem,hochrangigen,hochrangigem,hochrangigste,hochrangiger,hochrangigerem
hochtreibend|ADJX	0.0040
hochwertig|ADJX	0.0849	hochwertigem,hochwertigen,hochwertige,hochwertiger,hochwertigere,hochwertiges,hochwertigerem,hochwertigeren,hochwertigstem,hochwertigste,hochwertigerer,hochwertigeres,hochwertigsten,hochwertigstes,hochwertigster,hochwertigst
hoffen|VVINF	0.2318	hofft,hofften,hoffe,hoff,gehofft,hoffest,hofftest,hoffte,hoffst,hoffet,hofftet
hoffnungsfroh|ADJX	0.0040	hoffnungsfrohstes,hoffnungsfroheres,hoffnungsfrohes,hoffnungsfroher,hoffnungsfrohster,hoffnungsfrohen,hoffnungsfrohem,hoffnungsfrohstem,hoffnungsfrohsten,hoffnungsfrohe,hoffnungsfroherer,hoffnungsfroherem,hoffnungsfroheren,hoffnungsfrohere,hoffnungsfrohste,hoffnungsfrohst
hoffnungsvoll|ADJX	0.1853	hoffnungsvollsten,hoffnungsvollerem,hoffnungsvolleren,hoffnungsvollstem,hoffnungsvollem,hoffnungsvollere,hoffnungsvollen,hoffnungsvollerer,hoffnungsvollste,hoffnungsvolle,hoffnungsvollst,hoffnungsvollstes,hoffnungsvoller,hoffnungsvolleres,hoffnungsvolles,hoffnungsvollster
human|ADJX	0.0040	humanstes,humanere,humanster,humaneres,humansten,humanstem,humanerer,humaneren,humanerem,humanes,humaner,humanste,humane,humanst,humanem,humanen
humanitär|ADJX	0.0040	humanitären,humanitärem,humanitäreres,humanitärstem,humanitärerer,humanitärst,humanitärere,humanitärster,humanitäreren,humanitärstes,humanitäre,humanitäres,humanitärsten,humanitärer,humanitärste,humanitärerem
humorvoll|ADJX	0.317	humorvollstem,humorvollsten,humorvollere,humorvollster,humorvollstes,humorvolle,humorvollst,humorvollen,humorvollste,humorvollem,humorvoller,humorvollerer,humorvolleres,humorvolles,humorvollerem,humorvolleren
hundertprozentig|ADJX	0.0796	hundertprozentigste,hundertprozentigeres,hundertprozentigerer,hundertprozentiges,hundertprozentiger,hundertprozentigst,hundertprozentigen,hundertprozentigem,hundertprozentigstem,hundertprozentigsten,hundertprozentige,hundertprozentigerem,hundertprozentigstes,hundertprozentigeren,hundertprozentigster,hundertprozentigere
höchstmöglich|ADJX	0.0040	höchstmöglichster,höchstmöglicherem,höchstmöglichstes,höchstmöglichere,höchstmöglicheren,höchstmöglicheres,höchstmöglicherer,höchstmöglichsten,höchstmöglichstem,höchstmöglichen,höchstmöglichem,höchstmöglichst,höchstmögliches,höchstmöglicher,höchstmöglichste,höchstmögliche
höflich|ADJX	0.0040	höflichere,höfliches,höflichem,höflichen,höflicher,höflicherem,höflicheren,höflichste,höflichst,höflicherer,höflicheres,höflichster,höflichstes,höfliche,höflichsten,höflichstem
hörenswert|ADJX	0.0040	hörenswerten,hörenswertestem,hörenswertesten,hörenswertem,hörenswertestes,hörenswerteste,hörenswertester,hörenswertest,hörenswerterer,hörenswerteres,hörenswerter,hörenswerteren,hörenswerterem,hörenswertes,hörenswertere,hörenswerte
hübsch|ADJX	0.4629	hübsche,hübschsten,hübschstem,hübschere,hübscherem,hübschstes,hübschster,hübscher,hübscheren,hübschst,hübschen,hübscherer,hübschem,hübscheres,hübsches,hübschste
ideal|ADJX	0.0937	idealstes,idealerer,ideales,idealer,idealerem,idealeren,idealster,idealst,idealsten,idealen,idealste,idealstem,idealem,ideale,idealere,idealeres
idyllisch|ADJX	0.0040	idyllischer,idyllisches,idyllischem,idyllischen,idyllischst,idyllischste,idyllischstem,idyllischsten,idyllischere,idyllischeres,idyllischstes,idyllischerer,idyllischerem,idyllischster,idyllische,idyllischeren
illustre|ADJX	0.0040
immens|ADJX	0.0040	immensere,immensestem,immensesten,immenses,immenser,immenseres,immensester,immensestes,immensen,immensem,immenserer,immenseren,immenserem,immensest,immenseste,immense
imponierend|ADJX	0.0040
imposant|ADJX	0.0040	imposantem,imposantest,imposanteste,imposanterem,imposanteren,imposantere,imposantesten,imposantester,imposantestes,imposanterer,imposanter,imposanteres,imposantes,imposanten,imposante,imposantestem
inbrünstig|ADJX	0.0040	inbrünstigeren,inbrünstigerem,inbrünstige,inbrünstigsten,inbrünstiges,inbrünstiger,inbrünstigstes,inbrünstigster,inbrünstigem,inbrünstigere,inbrünstigen,inbrünstigstem,inbrünstigst,inbrünstigerer,inbrünstigste,inbrünstigeres
individuell|ADJX	0.0040	individuellerem,individuellstes,individuelleren,individuellster,individuellere,individuellsten,individuellstem,individuellen,individuelle,individueller,individuelles,individuellste,individuellem,individuellst,individuellerer,individuelleres
ingeniös|ADJX	0.0040	ingeniösesten,ingeniöserer,ingeniöseres,ingeniöserem,ingeniöseren,ingeniösestem,ingeniösester,ingeniösestes,ingeniösere,ingeniöser,ingeniöses,ingeniöseste,ingeniösen,ingeniösest,ingeniöse,ingeniösem
innovativ|ADJX	0.3302	innovativeren,innovativerem,innovativeres,innovativerer,innovativere,innovatives,innovativstem,innovativsten,innovativer,innovativster,innovativem,innovativstes,innovativen,innovativste,innovative,innovativst
inspirieren|VVINF	0.0040
inspirierend|ADJX	0.0786
intakt|ADJX	0.0040	intakterer,intakte,intakteres,intakteren,intakterem,intaktere,intaktestes,intaktester,intaktem,intakten,intakter,intaktes,intakteste,intaktestem,intaktesten,intaktest
integer|ADJX	0.0040	integerste,integrerem,integerstem,integre,integreren,integersten,integrerer,integreres,integerster,integerstes,integrer,integres,integrem,integren,integrere,integerst
integrieren|VVINF	0.0908	integrierten,integriertest,integriert,integrierte,integriertet,integrierst,integrieret,integrierest,integrier,integriere
intelligent|ADJX	0.1238	intelligenteren,intelligenterem,intelligentestem,intelligentestes,intelligentester,intelligentem,intelligentesten,intelligenten,intelligentere,intelligenter,intelligentes,intelligente,intelligenterer,intelligentest,intelligenteres,intelligenteste
intensiv|ADJX	0.0040	intensive,intensiverer,intensivere,intensiveres,intensivst,intensivste,intensivsten,intensivstem,intensivster,intensivstes,intensiverem,intensives,intensiver,intensiveren,intensiven,intensivem
interessant|ADJX	0.2488	interessantestes,interessantester,interessanteste,interessantere,interessantestem,interessantesten,interessanterem,interessantest,interessantes,interessanter,interessanteren,interessante,interessanten,interessanteres,interessantem,interessanterer
interessieren|VVINF	0.0040	interessierest,interessier,interessiertet,interessiert,interessiere,interessierst,interessierte,interessiertest,interessierten,interessieret
interessiert|ADJX	0.0040	interessierteren,interessierterem,interessierteste,interessiertes,interessierter,interessierte,interessierten,interessiertest,interessiertester,interessiertestes,interessiertem,interessiertesten,interessierteres,interessierterer,interessiertestem,interessiertere
investieren|VVINF	0.0040	investierte,investierest,investierten,investierst,investieret,investier,investiertest,investiertet,investiere,investiert
jubeln|VVINF	0.0756	jubeltest,jubelten,jubl,jubelst,jubel,gejubelt,jubeltet,juble,jubelt,jubelen,jubele,jubelte
kinderleicht|ADJX	0.0040	kinderleichteres,kinderleichterer,kinderleichtste,kinderleichter,kinderleichtsten,kinderleichtstem,kinderleichtes,kinderleichtstes,kinderleichten,kinderleichtster,kinderleichtem,kinderleichteren,kinderleichterem,kinderleichte,kinderleichtere,kinderleichtst
klaglos|ADJX	0.0040	klaglosere,klaglosestem,klaglosesten,klaglose,klaglosestes,klaglosester,klagloseste,klagloserem,klagloseren,klagloseres,klagloserer,klaglosest,klaglosem,klaglosen,klagloses,klagloser
klar|ADJX	0.0040	klaren,klareres,klarem,klarerer,klarer,klareren,klarstes,klarerem,klarster,klarere,klarst,klarste,klarstem,klarsten,klares,klare
klasse|ADJX	0.3474	klassestes,klassester,klassee,klassees,klasseer,klasseeres,klasseste,klasseeren,klasseerem,klasseerer,klassesten,klasseem,klassestem,klasseen,klassest,klasseere
klassisch|ADJX	0.0040	klassisches,klassische,klassischer,klassischste,klassischen,klassischerer,klassischeres,klassischerem,klassischere,klassischeren,klassischem,klassischstem,klassischsten,klassischstes,klassischst,klassischster
klettern|VVINF	0.457	kletteren,kletterst,kletterten,klettertest,geklettert,klettert,klettere,klettertet,kletter,kletterte
klimatisiert|VVINF	0.0040	klimatisiertste,klimatisierterer,klimatisierteres,klimatisierteren,klimatisiertster,klimatisiertere,klimatisiertstes,klimatisierterem,klimatisiertstem,klimatisiertsten,klimatisiertst,klimatisierte,klimatisiertes,klimatisierter,klimatisiertem,klimatisierten
klug|ADJX	0.3532	klügsten,klügstem,kluge,kluger,kluges,klügste,klügster,klügstes,klüger,klügere,klügst,klugen,klügerem,klügeren,klugem,klügerer,klügeres
klären|VVINF	0.0040	klärtest,klärest,geklärt,klärten,klär,klärt,klärst,kläre,kläret,klärtet,klärte
knorke|ADJX	0.0040	knorkeste,knorken,knorkem,knorkerer,knorkere,knorkerem,knorkeren,knorkestes,knorkester,knorkeres,knorkesten,knorkestem,knorker,knorkes,knorkest
knuddelig|ADJX	0.2086
knuffig|ADJX	0.0974
kollegial|ADJX	0.0809	kollegialer,kollegiales,kollegialst,kollegialere,kollegialen,kollegialem,kollegialeren,kollegialsten,kollegialstes,kollegialerem,kollegialster,kollegialste,kollegiale,kollegialeres,kollegialstem,kollegialerer
komfortabel|ADJX	0.08	komfortabelst,komfortabler,komfortables,komfortabelstes,komfortable,komfortabelster,komfortablem,komfortablen,komfortabelsten,komfortabelstem,komfortablerem,komfortableren,komfortablerer,komfortabelste,komfortableres,komfortablere
kommod|ADJX	0.0040	kommodestem,kommodesten,kommoderem,kommoderen,kommodestes,kommodester,kommodere,kommodes,kommoder,kommoderes,kommodest,kommodeste,kommoderer,kommode,kommoden,kommodem
kommunikativ|ADJX	0.0040	kommunikativerer,kommunikativste,kommunikativeres,kommunikativeren,kommunikativerem,kommunikativster,kommunikativstes,kommunikativen,kommunikativsten,kommunikativstem,kommunikatives,kommunikative,kommunikativer,kommunikativere,kommunikativst,kommunikativem
kompatibel|ADJX	0.0040	kompatibelstem,kompatibelsten,kompatibelster,kompatibelstes,kompatiblerer,kompatibelst,kompatibleres,kompatibelste,kompatiblem,kompatiblen,kompatibles,kompatiblerem,kompatibler,kompatibleren,kompatiblere,kompatible
kompensieren|VVINF	0.0040	kompensierte,kompensierest,kompensierst,kompensier,kompensierten,kompensiertest,kompensiere,kompensiert,kompensiertet,kompensieret
kompetent|ADJX	0.0789	kompetentesten,kompetentestem,kompetentestes,kompetentester,kompetentere,kompetenten,kompetenteres,kompetentem,kompetenterer,kompetentes,kompetenter,kompetente,kompetenteste,kompetenteren,kompetenterem,kompetentest
komplett|ADJX	0.0040	komplettester,kompletteste,komplettestes,komplettest,kompletter,komplettes,komplettem,kompletten,kompletteres,kompletterer,komplette,komplettesten,kompletterem,komplettere,komplettestem,kompletteren
konfliktfrei|ADJX	0.0040	konfliktfreieres,konfliktfreies,konfliktfreiste,konfliktfreie,konfliktfreierer,konfliktfreieren,konfliktfreierem,konfliktfreiere,konfliktfreist,konfliktfreistem,konfliktfreister,konfliktfreisten,konfliktfreistes,konfliktfreien,konfliktfreiem,konfliktfreier
kongenial|ADJX	0.0040	kongenialste,kongenialeren,kongenialere,kongenialstem,kongenialerem,kongenialster,kongenialstes,kongenialsten,kongeniale,kongenialerer,kongenialeres,kongenialen,kongenialem,kongenialst,kongeniales,kongenialer
konkret|ADJX	0.0040	konkreteres,konkretere,konkreterer,konkreteste,konkreteren,konkreterem,konkretestem,konkretesten,konkrete,konkretester,konkretestes,konkretest,konkretes,konkreter,konkreten,konkretem
konkurrenzfähig|ADJX	0.0040	konkurrenzfähige,konkurrenzfähigere,konkurrenzfähigste,konkurrenzfähigst,konkurrenzfähigem,konkurrenzfähigsten,konkurrenzfähigen,konkurrenzfähigstem,konkurrenzfähigerem,konkurrenzfähigstes,konkurrenzfähigeren,konkurrenzfähigster,konkurrenzfähiger,konkurrenzfähiges,konkurrenzfähigerer,konkurrenzfähigeres
konsequent|ADJX	0.0040	konsequenterem,konsequenteren,konsequentes,konsequentest,konsequenter,konsequenterer,konsequenteste,konsequentestes,konsequenteres,konsequentester,konsequentem,konsequentesten,konsequentestem,konsequente,konsequenten,konsequentere
konsistent|ADJX	0.0040	konsistenterem,konsistentest,konsistentestes,konsistentester,konsistenten,konsistentem,konsistenteste,konsistenter,konsistenteren,konsistentes,konsistente,konsistenteres,konsistenterer,konsistentesten,konsistentere,konsistentestem
konsolidieren|VVINF	0.0040	konsolidierte,konsolidierest,konsolidieret,konsolidiert,konsolidiertest,konsolidiere,konsolidiertet,konsolidierst,konsolidierten,konsolidier
konstant|ADJX	0.087	konstantester,konstantestem,konstantesten,konstanteste,konstantest,konstantestes,konstantes,konstanterer,konstanter,konstanteres,konstantere,konstanterem,konstanteren,konstante,konstantem,konstanten
konstruktiv|ADJX	0.0894	konstruktivsten,konstruktives,konstruktiver,konstruktivstem,konstruktive,konstruktivere,konstruktivstes,konstruktiveres,konstruktivster,konstruktiverer,konstruktiven,konstruktivst,konstruktivem,konstruktiveren,konstruktiverem,konstruktivste
konsultieren|VVINF	0.0040	konsultierest,konsultierten,konsultierst,konsultiertet,konsultierte,konsultier,konsultieret,konsultiertest,konsultiere,konsultiert
kontinuierlich|ADJX	0.0040	kontinuierliches,kontinuierlichstes,kontinuierlichster,kontinuierlichen,kontinuierlicheres,kontinuierlichst,kontinuierlichsten,kontinuierlichem,kontinuierlicherer,kontinuierlichstem,kontinuierlicher,kontinuierlicheren,kontinuierlicherem,kontinuierlichste,kontinuierlichere,kontinuierliche
konzertiert|VVINF	0.0040	konzertierter,konzertiertstes,konzertiertes,konzertiertster,konzertierteres,konzertiertere,konzertiertem,konzertierte,konzertierten,konzertierterer,konzertiertstem,konzertiertsten,konzertiertst,konzertierteren,konzertiertste,konzertierterem
kooperativ|ADJX	0.0040	kooperativere,kooperativeren,kooperativstes,kooperativeres,kooperativster,kooperativerer,kooperative,kooperatives,kooperativerem,kooperativst,kooperativsten,kooperativer,kooperativstem,kooperativem,kooperativen,kooperativste
kooperieren|VVINF	0.0040
koordinieren|VVINF	0.0040
koordiniert|ADJX	0.0040	koordinierten,koordiniertem,koordiniertes,koordinierter,koordiniertst,koordiniertste,koordinierte,koordinierterer,koordinierteres,koordiniertsten,koordinierterem,koordinierteren,koordiniertstem,koordiniertster,koordiniertstes,koordiniertere
korrekt|ADJX	0.0040	korrektest,korrektestem,korrektesten,korrekteste,korrekteren,korrektestes,korrekteres,korrekterer,korrektester,korrektes,korrektere,korrektem,korrekterem,korrekte,korrekten,korrekter
kostbar|ADJX	0.0777	kostbare,kostbarere,kostbarst,kostbarstes,kostbarer,kostbareres,kostbarster,kostbarerer,kostbarsten,kostbares,kostbarste,kostbarerem,kostbarstem,kostbaren,kostbarem,kostbareren
kostengünstig|ADJX	0.0040	kostengünstiges,kostengünstigere,kostengünstigeres,kostengünstiger,kostengünstigerer,kostengünstige,kostengünstigem,kostengünstigen,kostengünstigeren,kostengünstigste,kostengünstigstem,kostengünstigsten,kostengünstigstes,kostengünstigster,kostengünstigerem,kostengünstigst
kostenlos|ADJX	0.0040	kostenloserer,kostenloseres,kostenloses,kostenlosstem,kostenlosst,kostenlosere,kostenloseren,kostenlossten,kostenlose,kostenloserem,kostenlosstes,kostenlosem,kostenlosster,kostenlosen,kostenlosste,kostenloser
kraftvoll|ADJX	0.2214	kraftvollstes,kraftvollste,kraftvolleren,kraftvollerem,kraftvollster,kraftvollere,kraftvollerer,kraftvollem,kraftvolle,kraftvollen,kraftvollst,kraftvollsten,kraftvollstem,kraftvoller,kraftvolleres,kraftvolles
kreativ|ADJX	0.5865	kreative,kreativst,kreativste,kreatives,kreativstem,kreativer,kreativeres,kreativerer,kreativster,kreativen,kreativstes,kreativem,kreativeren,kreativere,kreativsten,kreativerem
kritisch|ADJX	0.0040	kritischerer,kritischste,kritischeres,kritischsten,kritischstem,kritischster,kritischerem,kritischeren,kritischer,kritisches,kritischstes,kritischen,kritischst,kritischem,kritischere,kritische
kräftig|ADJX	0.2408	kräftige,kräftigere,kräftigerem,kräftigeren,kräftigste,kräftigster,kräftigst,kräftigerer,kräftigstem,kräftigsten,kräftigeres,kräftigen,kräftigem,kräftiges,kräftiger,kräftigstes
kulant|ADJX	0.0040	kulantest,kulanten,kulantestem,kulantesten,kulantem,kulantere,kulanteste,kulantestes,kulante,kulantester,kulantes,kulanter,kulanterem,kulanteren,kulanteres,kulanterer
kultiviert|VVINF	0.0731	kultivierterer,kultiviertem,kultivierteren,kultivierterem,kultivierten,kultiviertes,kultivierter,kultiviertest,kultivierteste,kultivierteres,kultiviertesten,kultiviertestem,kultiviertestes,kultiviertester,kultivierte,kultiviertere
kunstreich|ADJX	0.0040	kunstreiches,kunstreichstes,kunstreichster,kunstreicher,kunstreichsten,kunstreicherem,kunstreichste,kunstreiche,kunstreichere,kunstreichst,kunstreicheren,kunstreicherer,kunstreicheres,kunstreichem,kunstreichen,kunstreichstem
kunstvoll|ADJX	0.0040	kunstvollere,kunstvolleres,kunstvollerer,kunstvolleren,kunstvollerem,kunstvoller,kunstvollste,kunstvolles,kunstvollstem,kunstvollsten,kunstvolle,kunstvollster,kunstvollstes,kunstvollen,kunstvollst,kunstvollem
kurieren|VVINF	0.0040	kurierte,kuriertet,kuriertest,kurierst,kuriert,kurieret,kuriere,kurierest,kurier,kurierten
kümmern|VVINF	0.2016	kümmert,kümmere,kümmerte,gekümmert,kümmertet,kümmerst,kümmertest,kümmeren,kümmerten,kümmer
künstlerisch|ADJX	0.0040	künstlerisches,künstlerischsten,künstlerische,künstlerischstem,künstlerischere,künstlerischem,künstlerischerem,künstlerischen,künstlerischster,künstlerischstes,künstlerischer,künstlerischeren,künstlerischst,künstlerischerer,künstlerischeres,künstlerischste
lachen|VVINF	0.0135	lachte,lachten,gelacht,lachtest,lachet,lachest,lachtet,lach,lacht,lache,lachst
langlebig|ADJX	0.2026	langlebigeres,langlebigerer,langlebige,langlebigem,langlebigen,langlebigste,langlebigstes,langlebiger,langlebigst,langlebiges,langlebigster,langlebigeren,langlebigere,langlebigerem,langlebigsten,langlebigstem
lautstark|ADJX	0.0040	lautstarkst,lautstarkste,lautstarkstes,lautstarken,lautstarkem,lautstarkster,lautstarkere,lautstarkeres,lautstarksten,lautstarkerer,lautstarkstem,lautstarker,lautstarkes,lautstarkerem,lautstarkeren,lautstarke
lebendig|ADJX	0.0947	lebendigstes,lebendigster,lebendiger,lebendiges,lebendigem,lebendigsten,lebendigen,lebendigstem,lebendige,lebendigste,lebendigere,lebendigerem,lebendigeren,lebendigst,lebendigerer,lebendigeres
lebensfähig|ADJX	0.0040	lebensfähigem,lebensfähigste,lebensfähigeren,lebensfähigerem,lebensfähige,lebensfähigster,lebensfähigstes,lebensfähigerer,lebensfähigstem,lebensfähigsten,lebensfähigeres,lebensfähigere,lebensfähiges,lebensfähiger,lebensfähigst,lebensfähigen
lebhaft|ADJX	0.2146	lebhaftere,lebhaften,lebhaftestes,lebhaftem,lebhaftester,lebhaftes,lebhafte,lebhafter,lebhafterem,lebhafteren,lebhaftestem,lebhaftesten,lebhaftest,lebhafteste,lebhafterer,lebhafteres
legal|ADJX	0.0040	legalste,legalstes,legale,legalerem,legaleren,legalsten,legalstem,legales,legaler,legalster,legalem,legalere,legalen,legalst,legalerer,legaleres
legendär|ADJX	0.0040	legendärerem,legendäreren,legendäreres,legendärere,legendärerer,legendärst,legendärster,legendärstes,legendäre,legendäres,legendärer,legendärste,legendären,legendärstem,legendärsten,legendärem
legitim|ADJX	0.0040	legitimsten,legitimstem,legitime,legitimster,legitimstes,legitimem,legitimen,legitimst,legitimeres,legitimste,legitimeren,legitimerem,legitimere,legitimerer,legitimer,legitimes
leicht|ADJX	0.0040	leichte,leichteste,leichteren,leichterem,leichtere,leichterer,leichteres,leichtestem,leichtesten,leichten,leichtest,leichtester,leichtes,leichtestes,leichter,leichtem
leidenschaftlich|ADJX	0.1988	leidenschaftlicherem,leidenschaftlichem,leidenschaftlichere,leidenschaftlichen,leidenschaftlicheren,leidenschaftliche,leidenschaftlichstem,leidenschaftlichste,leidenschaftlichst,leidenschaftlichsten,leidenschaftlicheres,leidenschaftlicherer,leidenschaftliches,leidenschaftlicher,leidenschaftlichster,leidenschaftlichstes
leistungsfähig|ADJX	0.3222	leistungsfähigsten,leistungsfähigen,leistungsfähige,leistungsfähigem,leistungsfähiger,leistungsfähigerem,leistungsfähigstem,leistungsfähigeren,leistungsfähigerer,leistungsfähigeres,leistungsfähigst,leistungsfähigere,leistungsfähigste,leistungsfähigstes,leistungsfähiges,leistungsfähigster
leistungsstark|ADJX	0.0040	leistungsstarkstes,leistungsstarkerem,leistungsstarkster,leistungsstarkeren,leistungsstarke,leistungsstarkeres,leistungsstarkerer,leistungsstarker,leistungsstarkes,leistungsstarkem,leistungsstarken,leistungsstarkere,leistungsstarkst,leistungsstarkste,leistungsstarksten,leistungsstarkstem
lernen|VVINF	0.2492	lerntest,lernest,lernten,lernt,lerntet,lernte,gelernt,lernst,lernet,lerne,lern
leuchtend|ADJX	0.0821
leutselig|ADJX	0.0040	leutseligere,leutseligster,leutseligstes,leutseligsten,leutseligstem,leutseligste,leutseligst,leutseligeren,leutseligerem,leutseligeres,leutseligerer,leutselige,leutseligem,leutseligen,leutseliges,leutseliger
liberal|ADJX	0.0040	liberaleres,liberale,liberalstem,liberalsten,liberaleren,liberalster,liberalerem,liberalstes,liberalerer,liberaler,liberalst,liberalere,liberales,liberalste,liberalen,liberalem
lieb|ADJX	0.1131	liebster,liebstes,liebes,liebere,lieben,liebem,lieberen,liebstem,lieber,lieberes,liebst,lieberer,liebsten,liebe,lieberem,liebste
liebenswert|ADJX	0.2077	liebenswertesten,liebenswertestem,liebenswerteres,liebenswerterer,liebenswertem,liebenswerterem,liebenswerten,liebenswerteren,liebenswerter,liebenswertere,liebenswertes,liebenswerteste,liebenswertest,liebenswerte,liebenswertester,liebenswertestes
liebenswürdig|ADJX	0.2001	liebenswürdigsten,liebenswürdigstem,liebenswürdigem,liebenswürdigste,liebenswürdigen,liebenswürdigeres,liebenswürdigst,liebenswürdige,liebenswürdigstes,liebenswürdiger,liebenswürdigerer,liebenswürdiges,liebenswürdigerem,liebenswürdigster,liebenswürdigere,liebenswürdigeren
liebevoll|ADJX	0.4657	liebevolleren,liebevollstem,liebevollsten,liebevolle,liebevollerem,liebevollerer,liebevolleres,liebevollere,liebevollst,liebevollste,liebevollen,liebevollem,liebevolles,liebevoller,liebevollstes,liebevollster
lindern|VVINF	0.0040	linder,lindertest,linderten,gelindert,linderte,linderen,linderst,lindert,lindere,lindertet
loben|VVINF	0.4445	lobten,lobtest,lob,lobtet,gelobt,lobt,lobest,lobe,lobte,lobet,lobst
lobenswert|ADJX	0.0821	lobenswerte,lobenswerteres,lobenswertem,lobenswertere,lobenswerterer,lobenswerten,lobenswerterem,lobenswerteren,lobenswerter,lobenswertes,lobenswerteste,lobenswertesten,lobenswertest,lobenswertestem,lobenswertester,lobenswertestes
locker|ADJX	0.2381	lockreren,lockererer,lockrerem,lockereres,lockerst,lockere,lockrer,lockreres,lockrere,lockersten,lockerere,lockeres,lockerer,lockerstem,lockrerer,lockerste,lockerstes,lockerster,lockereren,lockeren,lockererem,lockerem
logisch|ADJX	0.0936	logischstes,logischster,logischere,logischen,logischste,logischem,logisches,logischer,logischerer,logischeres,logischsten,logischerem,logische,logischeren,logischstem,logischst
lohnen|VVINF	0.0040	lohntest,lohnet,gelohnt,lohn,lohntet,lohnten,lohnt,lohne,lohnst,lohnest,lohnte
lohnend|ADJX	0.1875	lohnendem,lohnendere,lohnenderes,lohnenden,lohnenderer,lohnendste,lohnender,lohnenderen,lohnende,lohnendst,lohnendstem,lohnenderem,lohnendsten,lohnendstes,lohnendster,lohnendes
loyal|ADJX	0.0040	loyalste,loyale,loyaleren,loyalerem,loyalerer,loyalstes,loyaleres,loyalster,loyalere,loyalstem,loyalsten,loyalen,loyalst,loyalem,loyaler,loyales
lukrativ|ADJX	0.0040	lukrativere,lukrativste,lukrativerer,lukrativeres,lukrativerem,lukrativeren,lukrative,lukratives,lukrativstem,lukrativsten,lukrativer,lukrativster,lukrativem,lukrativstes,lukrativen,lukrativst
luxoriös|ADJX	0.0040
luxuriös|ADJX	0.0835	luxuriösem,luxuriösen,luxuriösere,luxuriöser,luxuriöses,luxuriöserem,luxuriösester,luxuriöseren,luxuriösestes,luxuriösest,luxuriöserer,luxuriöseres,luxuriöseste,luxuriöse,luxuriösesten,luxuriösestem
lächeln|VVINF	0.3399	lächeltet,lächelte,lächeltest,lächelst,lächelten,lächel,lächle,lächl,gelächelt,lächelt,lächele,lächelen
lässig|ADJX	0.2095
löblich|ADJX	0.0040	löblicherer,löblicheres,löblichstem,löblichen,löblichem,löblicheren,löblichsten,löblicher,löbliches,löblichster,löblichere,löblichstes,löbliche,löblichste,löblichst,löblicherem
lösen|VVINF	0.0040	löstet,lösest,gelöst,löset,löstest,löste,löst,lösten,lös,löse
lückenlos|ADJX	0.0040	lückenlosestem,lückenlosem,lückenloserem,lückenloseren,lückenloseres,lückenlosen,lückenloserer,lückenlosere,lückenloser,lückenloses,lückenlosesten,lückenlose,lückenlosestes,lückenlosester,lückenloseste,lückenlosest
magisch|ADJX	0.0040	magischeres,magischerer,magischeren,magischstes,magischerem,magischster,magisches,magischere,magische,magischstem,magischer,magischsten,magischem,magischen,magischste,magischst
majestätisch|ADJX	0.073	majestätische,majestätischstem,majestätischsten,majestätischstes,majestätischerer,majestätischeres,majestätischster,majestätischerem,majestätischeren,majestätischere,majestätischste,majestätischen,majestätisches,majestätischer,majestätischst,majestätischem
makellos|ADJX	0.2	makelloses,makelloseren,makelloseres,makelloserer,makellosest,makellosesten,makellosestem,makelloserem,makelloser,makelloseste,makellosester,makellosestes,makellosem,makellosen,makellose,makellosere
malerisch|ADJX	0.0753	malerischster,malerischstes,malerischerem,malerischem,malerischeren,malerischen,malerischerer,malerischste,malerischeres,malerischere,malerische,malerischst,malerischer,malerisches,malerischstem,malerischsten
markant|ADJX	0.1935	markantere,markanteres,markanterer,markante,markanteren,markantest,markanter,markanterem,markanteste,markantestes,markantester,markantem,markanten,markantesten,markantestem,markantes
massiv|ADJX	0.0040	massivstes,massiven,massivem,massiver,massives,massivst,massive,massiverem,massiveren,massivsten,massivstem,massiverer,massivster,massiveres,massivere,massivste
maximal|ADJX	0.0040	maximalem,maximalen,maximalste,maximaleres,maximalerer,maximalstem,maximalster,maximalsten,maximalstes,maximaleren,maximalerem,maximale,maximales,maximaler,maximalst,maximalere
maximieren|VVINF	0.0040	maximierten,maximierest,maximierte,maximierst,maximier,maximieret,maximiert,maximiere,maximiertet,maximiertest
meisterhaft|ADJX	0.0040	meisterhaftest,meisterhaftes,meisterhafter,meisterhaftestes,meisterhafterem,meisterhaftester,meisterhaftestem,meisterhaftesten,meisterhafteren,meisterhafterer,meisterhafteres,meisterhaftem,meisterhaften,meisterhafte,meisterhafteste,meisterhaftere
meisterlich|ADJX	0.0040	meisterlichem,meisterlichen,meisterlicher,meisterliches,meisterlichst,meisterlichstes,meisterliche,meisterlichster,meisterlichstem,meisterlichsten,meisterlicherem,meisterlicheren,meisterlichere,meisterlichste,meisterlicherer,meisterlicheres
menschenwürdig|ADJX	0.0040	menschenwürdigeren,menschenwürdigerem,menschenwürdigster,menschenwürdige,menschenwürdigerer,menschenwürdigstes,menschenwürdigeres,menschenwürdigsten,menschenwürdigst,menschenwürdigstem,menschenwürdigere,menschenwürdigste,menschenwürdiger,menschenwürdiges,menschenwürdigem,menschenwürdigen
